day,average_revenue,average_count
1,1.12191200522,7417
2,1.13015146533,7060
3,1.10743338062,6383
4,1.17311681639,6070
5,1.16786740756,6444
6,1.10981600937,7169
7,1.08815376127,7336
8,1.08210256102,7385
9,1.08237487255,7197
10,1.12021027742,6629
11,1.16557147907,6658
12,1.2042893135,6586
13,1.11177205311,6780
14,1.05432267717,6891
15,1.19989371373,6872
16,1.44314297421,6790
17,1.45739004283,6445
18,1.33104575123,6319
19,1.34879767386,6388
20,1.32273159429,6659
21,1.25942380796,6367
22,1.27287266086,6392
23,1.28039479061,6524
24,1.25152768685,6104
25,1.26712513086,6275
26,1.28550151505,6346
27,1.28667054093,6619
28,1.26079140865,6665
29,1.25897598194,6886
30,1.23863395267,6821
31,1.20974926652,6476
