hour,average_revenue,average_count
0,1.23222096166,8647
1,1.23704257907,9272
2,1.26024040886,9113
3,1.23906187193,7854
4,1.24079370703,6033
5,1.25974333131,4324
6,1.28757377314,3025
7,1.29175701257,2192
8,1.25686581677,1743
9,1.24102337541,1579
10,1.20080930775,1746
11,1.1641438543,2410
12,1.16709588072,3851
13,1.18919575677,5995
14,1.19493087944,7977
15,1.19127437576,9264
16,1.18938796245,9698
17,1.18509056572,9870
18,1.20785274052,10034
19,1.20712702831,9975
20,1.20203320246,9776
21,1.19987378783,9138
22,1.19914488111,8433
23,1.22603389238,8206
