Mark Begich (D),8000.0,560,D
Lisa Murkowski (R),10500.0,1112,R
Renee Ellmers (R),31050.0,152,R
Roger Wicker (R),42000.0,698,R
Roger Williams (R),15900.0,29,R
Steve Fincher (R),5000.0,48,R
Ted Yoho (R),1000.0,27,R
Johnny Isakson (R),29250.0,964,R
Jim Himes (D),54750.0,146,D
Gwen Moore (D),14500.0,433,D
Jackie Speier (D),78125.0,447,D
Jackie Walorski (R),26450.0,31,R
Ted Cruz (R),94000.0,408,R
Kevin Brady (R),59500.0,849,R
Ami Bera (D),16000.0,95,D
Anna Eshoo (D),230228.0,1011,D
Mike Thompson (D),90550.0,619,D
Pedro Pierluisi (D),25750.0,91,D
Henry Cuellar (D),14500.0,236,D
Jim Renacci (R),30000.0,20,R
Michael Grimm (R),23541.0,44,R
Suzan DelBene (D),3500.0,0,D
Kristi Noem (R),22500.0,39,R
Marcy Kaptur (D),4750.0,2009,D
Paul Cook (R),5000.0,5,R
Rodney Frelinghuysen (R),78500.0,778,R
Richard E. Neal (D),107573.0,849,D
Mo Brooks (R),11384.0,102,R
Thomas Massie (R),29701.0,10,R
Mick Mulvaney (R),8500.0,63,R
Dennis Ross (R),22000.0,28,R
Frank A. LoBiondo (R),3000.0,231,R
Jason Chaffetz (R),45195.0,291,R
Mark Warner (D),26250.0,488,D
Jan Schakowsky (D),18000.0,2177,D
John Fleming (R),19300.0,811,R
Mike Michaud (D),23500.0,463,D
Suzanne Bonamici (D),4500.0,38,D
John L. Mica (R),9000.0,1008,R
Steve Stockman (R),4500.0,9,R
Jim Moran (D),6000.0,1962,D
Eric Cantor (R),217050.0,991,R
Mike Coffman (R),12050.0,731,R
Sam Graves (R),13000.0,269,R
Phil Gingrey (R),108000.0,3023,R
John Garamendi (D),12000.0,1588,D
Pete Visclosky (D),1000.0,751,D
Steny H. Hoyer (D),144500.0,3799,D
Jim Jordan (R),25500.0,277,R
Jerrold Nadler (D),1000.0,1171,D
Ron DeSantis (R),5000.0,43,R
Eddie Bernice Johnson (D),1250.0,1267,D
David McKinley (R),29650.0,60,R
Michael F. Bennet (D),64000.0,623,D
Alan Grayson (D),600.0,208,D
Steve Stivers (R),69800.0,45,R
Dina Titus (D),7250.0,128,D
Grace Napolitano (D),3000.0,267,D
Tim Kaine (D),85000.0,122,D
John K. Delaney (D),6750.0,11,D
Zoe Lofgren (D),40500.0,659,D
Paul Gosar (R),3500.0,88,R
Kenny Marchant (R),22500.0,199,R
Charlie Dent (R),71750.0,310,R
Daniel Lipinski (D),6000.0,197,D
Scott Peters (D),3500.0,35,D
Donald M. Payne (D),32200.0,0,D
Pete King (R),6000.0,245,R
Ben R. Lujan (D),13500.0,92,D
John Campbell (R),40500.0,253,R
Matt Cartwright (D),200.0,68,D
George Holding (R),12700.0,49,R
Jerry McNerney (D),21000.0,154,D
Ann Kirkpatrick (D),6000.0,82,D
Adam Smith (D),39600.0,397,D
Thomas Cotton (R),1750.0,6,R
Chuck Grassley (R),16500.0,8163,R
Timothy H. Bishop (D),27250.0,506,D
Pat Toomey (R),103500.0,401,R
Peter DeFazio (D),250.0,2061,D
Raul Labrador (R),2500.0,10,R
Steve Southerland (R),500.0,28,R
Ruben Hinojosa (D),1000.0,436,D
Steve Israel (D),39250.0,455,D
Jack Kingston (R),23150.0,2190,R
John Carney (D),76352.0,54,D
Gloria McLeod (D),1000.0,7,D
Susan Brooks (R),58879.0,24,R
Juan Vargas (D),21000.0,35,D
Tammy Duckworth (D),6200.0,32,D
Patrick Meehan (R),103250.0,21,R
Jeb Hensarling (R),14000.0,1500,R
James E. Risch (R),8000.0,83,R
Edward J. Markey (D),30000.0,1424,D
Joe Donnelly (D),102283.0,183,D
Paul Broun Jr (R),3000.0,1343,R
Diane Black (R),87091.0,148,R
John D. Dingell (D),83500.0,2071,D
Doris O. Matsui (D),55200.0,768,D
Paul Tonko (D),3800.0,1201,D
Elizabeth Warren (D),105000.0,79,D
Greg Walden (R),99394.0,638,R
Pete Sessions (R),69000.0,1665,R
Pat Roberts (R),80000.0,1584,R
Ander Crenshaw (R),6500.0,217,R
Amy Klobuchar (D),148775.0,1130,D
Jeff Miller (R),24500.0,470,R
David Price (D),59000.0,827,D
Cheri Bustos (D),500.0,21,D
Walter B. Jones Jr (R),6500.0,770,R
Lindsey Graham (R),10500.0,864,R
Kurt Schrader (D),62500.0,125,D
Bernie Sanders (I),1000.0,3362,I
Nick Rahall (D),1000.0,745,D
Tim Huelskamp (R),2000.0,73,R
Thad Cochran (R),4500.0,1813,R
Kevin McCarthy (R),202900.0,196,R
Mark Udall (D),49000.0,2294,D
John A. Barrasso (R),168050.0,1933,R
Kirsten Gillibrand (D),145450.0,270,D
John Lewis (D),33500.0,700,D
Richard Hanna (R),5000.0,32,R
Steven Daines (R),1950.0,41,R
Steve Cohen (D),5000.0,835,D
Charles E. Schumer (D),32250.0,2511,D
Peter Roskam (R),127916.0,241,R
Heidi Heitkamp (D),22750.0,38,D
Bill Nelson (D),77000.0,2203,D
John B. Larson (D),58300.0,790,D
Fred Upton (R),311865.0,568,R
Michael G. Fitzpatrick (R),37890.0,233,R
Ann Mclane Kuster (D),2550.0,42,D
Ed Royce (R),10950.0,538,R
Allyson Schwartz (D),183200.0,656,D
Edwin G. Perlmutter (D),21700.0,418,D
Adam Kinzinger (R),57200.0,62,R
Rick Crawford (R),5450.0,47,R
Bill Pascrell Jr (D),90818.0,850,D
Shelley Moore Capito (R),20250.0,625,R
Frank Pallone Jr (D),185059.0,7203,D
Kathy Castor (D),12750.0,605,D
Ben Cardin (D),76480.0,3580,D
Kay Granger (R),36750.0,290,R
Chris Coons (D),79000.0,371,D
Loretta Sanchez (D),58500.0,758,D
Bob Goodlatte (R),16500.0,757,R
Dana Rohrabacher (R),12000.0,1293,R
Chellie Pingree (D),1250.0,398,D
Mark Amodei (R),5750.0,9,R
Rick Nolan (D),2250.0,0,D
Julia Brownley (D),2200.0,35,D
Kyrsten Sinema (D),300.0,26,D
Earl Blumenauer (D),15000.0,2732,D
Matt Salmon (R),19735.0,155,R
Melvin L. Watt (D),39250.0,460,D
Sheila Jackson Lee (D),4250.0,8402,D
Jerry Moran (R),13750.0,897,R
Gene Green (D),55700.0,2335,D
Trent Franks (R),250.0,456,R
Mike Lee (R),4000.0,356,R
Trey Radel (R),3000.0,15,R
Steven A. King (R),14750.0,2518,R
Aaron Schock (R),84250.0,87,R
Bennie G. Thompson (D),51000.0,609,D
Tim Scott (R),19750.0,119,R
Emanuel Cleaver (D),20000.0,242,D
Rob Portman (R),72500.0,1081,R
Joaquin Castro (D),19550.0,16,D
Richard Blumenthal (D),22000.0,485,D
Chris Smith (R),13300.0,2434,R
Gregory W. Meeks (D),27000.0,279,D
Yvette D. Clarke (D),6500.0,251,D
John Hoeven (R),21160.0,258,R
Darrell Issa (R),82750.0,395,R
Max Baucus (D),137668.0,6200,D
Rosa L. DeLauro (D),33500.0,3587,D
John Sarbanes (D),10250.0,286,D
Mary L. Landrieu (D),16500.0,2594,D
Karen Bass (D),14000.0,80,D
Robert Menendez (D),243588.0,2342,D
Mike Enzi (R),77250.0,3694,R
John Kline (R),56000.0,317,R
John J. Duncan Jr (R),1000.0,867,R
Orrin G. Hatch (R),545077.0,6508,R
Joe Courtney (D),52550.0,600,D
Cedric Richmond (D),23500.0,48,D
Nancy Pelosi (D),40500.0,2457,D
Tom Udall (D),10350.0,1267,D
Stephen F. Lynch (D),6750.0,481,D
Robert A. Brady (D),3750.0,302,D
Michael Burgess (R),167250.0,2706,R
Bill Flores (R),8000.0,51,R
Jeff Denham (R),34500.0,152,R
Sam Farr (D),7000.0,1242,D
Cory Gardner (R),72000.0,155,R
G. K. Butterfield (D),66850.0,472,D
Tom Marino (R),17500.0,42,R
Mark Pryor (D),8500.0,834,D
Mike Conaway (R),1000.0,447,R
John Culberson (R),2000.0,453,R
George Miller (D),3000.0,2170,D
Ron Kind (D),146649.0,1318,D
Sherrod Brown (D),97970.0,6816,D
Ken Calvert (R),16000.0,459,R
